ROUTE,avg_dep_delay,cancel_rate,flight_count,risk_score
CLT-PHL,18.451041666666665,0.007291666666666667,960,0.26797736061134214
CLT-PHX,12.27562326869806,0.0,722,-0.5724624497172841
CLT-RDU,15.872316384180792,0.0022598870056497176,885,-0.1591035076053624
CLT-RIC,17.67219152854512,0.001841620626151013,543,-0.011605991269990068
CLT-RSW,12.460420032310179,0.0032310177705977385,619,-0.4318742585905857
CLT-SAV,17.236301369863014,0.008561643835616438,584,0.2062749297369335
CLT-SRQ,18.493383742911153,0.001890359168241966,529,0.06486908031685956
CLT-TPA,11.023162134944613,0.004028197381671702,993,-0.5319086335854835
CLT-TYS,10.749190938511326,0.021035598705501618,618,0.0948517427854766
CMH-ATL,3.7574850299401197,0.0029940119760479044,668,-1.2316413862960367
CMH-LGA,2.1875901875901875,0.021645021645021644,693,-0.6596432151812915
CMH-MCO,13.789902280130294,0.009771986970684038,614,-0.060464889168654334
CMH-ORD,10.531055900621118,0.010869565217391304,644,-0.31448568981885033
COS-DEN,6.875912408759124,0.028284671532846715,1096,0.02070721823117916
CRP-DFW,6.672077922077922,0.016233766233766232,616,-0.4595512563626836
CVG-ATL,4.033123028391167,0.0031545741324921135,634,-1.2004468401909816
CVG-DCA,3.346,0.016,500,-0.7706917007763856
CVG-EWR,2.1184466019417476,0.021359223300970873,515,-0.6768756834386127
CVG-JFK,2.6774193548387095,0.007590132827324478,527,-1.1536645421523104
CVG-LGA,2.7790055248618786,0.02394106813996317,543,-0.5179367160452446
CVG-MCO,11.973128598848369,0.015355086372360844,521,-0.011603206430877581
CVG-ORD,7.05922165820643,0.01015228426395939,591,-0.6573947367465709
DAL-ATL,10.625869262865091,0.004172461752433936,719,-0.5624762077654067
DAL-AUS,9.353395061728396,0.013888888888888888,648,-0.30579181522926024
DAL-BNA,8.082242990654205,0.024299065420560748,535,-0.02240577135397498
DAL-DEN,11.158476658476658,0.018427518427518427,814,0.03210593328961584
DAL-HOU,8.81648675171737,0.02649656526005888,1019,0.12850120142076643
DAL-LAS,15.954866008462623,0.011283497884344146,709,0.19414282439601738
DAL-LAX,9.754646840148698,0.013011152416356878,538,-0.30296810091558646
DAL-MCO,12.515625,0.015625,704,0.0480260587753301
DAL-MSY,10.72053872053872,0.011784511784511785,594,-0.26221377496592624
DAL-PHX,10.654569892473118,0.012096774193548387,744,-0.2562426580771754
DAL-SAT,7.833791208791209,0.01098901098901099,728,-0.5549631025717351
DAL-STL,10.55795677799607,0.011787819253438114,509,-0.27685807259754736
DCA-ATL,9.275983558426306,0.012331180270111567,1703,-0.37250964994446034
