ROUTE,avg_dep_delay,cancel_rate,flight_count
DTW-PHX,22.8953488372093,0.005813953488372093,516
DTW-RSW,10.830319888734353,0.008344923504867872,719
DTW-TPA,20.649425287356323,0.007183908045977011,696
ECP-ATL,7.139165009940358,0.0,503
ELP-DFW,16.18153364632238,0.014084507042253521,639
ELP-PHX,5.272435897435898,0.004807692307692308,624
EWR-ATL,10.743045387994144,0.01171303074670571,1366
EWR-BOS,7.275189599133261,0.01733477789815818,923
EWR-CLT,12.940628637951106,0.012805587892898719,859
EWR-CVG,6.394230769230769,0.019230769230769232,520
EWR-DEN,7.925076452599388,0.08103975535168195,654
EWR-DFW,13.138055222088836,0.01920768307322929,833
EWR-DTW,9.01726427622842,0.014608233731739707,753
EWR-FLL,15.02870189171559,0.046314416177429873,1533
EWR-IAH,9.263414634146342,0.04390243902439024,820
EWR-IND,1.087378640776699,0.015533980582524271,515
EWR-LAS,12.511267605633803,0.028169014084507043,710
EWR-LAX,13.590176515732924,0.0283960092095165,1303
EWR-MCO,13.57504123144585,0.032435404068169325,1819
EWR-MIA,11.88630904723779,0.04723779023218575,1249
EWR-MSP,10.444007858546168,0.015717092337917484,509
EWR-ORD,11.721198156682028,0.03917050691244239,1302
EWR-PBI,8.76153091265947,0.0647693817468106,1019
EWR-PHX,12.40952380952381,0.01904761904761905,735
EWR-PIT,0.015873015873015872,0.019400352733686066,567
EWR-RDU,6.28130081300813,0.02113821138211382,615
EWR-RSW,8.970099667774086,0.061461794019933555,602
EWR-SFO,18.71917808219178,0.0228310502283105,876
EWR-SJU,15.201492537313433,0.009328358208955223,536
EWR-TPA,7.548517520215634,0.06064690026954178,742
FAI-SEA,6.402390438247012,0.025896414342629483,502
FLL-ATL,19.25432445067789,0.005610098176718092,2139
FLL-BNA,18.51211631663974,0.014539579967689823,619
FLL-BOS,26.225769669327253,0.02280501710376283,877
FLL-BWI,19.75,0.01953125,1024
FLL-CLT,17.01571709233792,0.004911591355599214,1018
FLL-DCA,21.74005305039788,0.011936339522546418,754
FLL-DFW,20.031928480204343,0.010217113665389528,783
FLL-DTW,12.408391608391609,0.008391608391608392,715
FLL-EWR,18.674040338321404,0.04163955757970072,1537
FLL-IAH,18.10296191819464,0.012693935119887164,709
FLL-JFK,24.43527013251784,0.01834862385321101,981
FLL-LAX,16.173986486486488,0.02364864864864865,592
FLL-LGA,21.336084021005252,0.012753188297074268,1333
FLL-ORD,28.853982300884955,0.03761061946902655,904
FLL-PHL,23.93732970027248,0.014986376021798364,734
GEG-SEA,7.0370981038746905,0.018961253091508656,1213
GRR-ORD,10.060240963855422,0.043674698795180725,664
GSO-ATL,1.3622448979591837,0.0017006802721088435,588
GSO-CLT,9.056923076923077,0.004615384615384616,650
GSP-ATL,3.4665825977301385,0.0025220680958385876,793
GSP-CLT,7.802083333333333,0.005208333333333333,768
HNL-ITO,5.747246022031824,0.0055079559363525096,1634
HNL-KOA,5.766188828472566,0.010380622837370242,2023
HNL-LAX,10.312152501985702,0.013502779984114376,1259
HNL-LIH,4.337844143723752,0.005132991133924405,2143
HNL-OGG,4.137788494660696,0.009300723389596968,2903
HNL-SEA,16.705882352941178,0.04447632711621234,697
HNL-SFO,16.375827814569536,0.029801324503311258,604
